05 50 00125 0|STE FRIES COUTURE|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00133 0|STE F.J|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00137 3|STE CHAMA|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00149 7|STE SOGETEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00155 1|KAIMON SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00200 0|RITUN SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00002 8|STE NOVATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00016 8|FRIES|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00021 4|STE FRIES TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00022 2|STE BENITEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00039 7|GEM A|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00045 1|STE F.J|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00047 8|STE FRIES COUTURE|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00058 3|STE SOGETEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00065 6|STE INTRATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00069 9|RITUN SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 51 00071 0|STE CHAMA|4.00|3.50|1.50|4.00|4.00|OUI||
05 59 00001 9|STE TEXKO SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 59 00002 7|ALTUTEX  SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 59 00004 3|ALTUTEX  INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
05 59 00005 1|STE AYA SHOES|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00002 3|GONSER TEXTILE TRATEMENT GTT|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00005 8|ALTUTEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00006 6|STE MARKURY SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00007 4|SOCIETE DES SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00009 0|STE CHAMA SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00011 2|STE CHAMA SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00013 9|FRIES|4.00|3.50|1.50|4.00|4.00|OUI||
05 63 00014 7|INTRATEX|4.00|3.50|1.50|4.00|4.00|OUI||
06 10 00559 4|SINO VOG|4.00|3.50|1.50|4.00|4.00|OUI||
06 10 00704 0|RENDER INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
06 10 00843 7|STE A.E.C SARL|4.00|3.50|1.50|4.00|4.00|OUI||
06 32 00260 2|STE ARAB EXPORT COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
06 50 00172 9|ACDIMA|4.00|3.50|1.50|4.00|4.00|OUI||
06 50 00349 7|TRIO INTERNATIONAL TRADING|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00427 6|MEDITERRANEAN CONSULTING COMPA|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00428 4|MAGHREB CONSULTING COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00429 2|CARTHAGE CONSULTING COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00432 2|FOUR SIZE CONSULTING|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00439 0|STE INTER CONSULTING COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
